urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,75,0,0,0,0,iomega,zip iomega 100 scsi ,Barcelona,2022/08/03,2022/09/28,2022/09/01,300,1188
0,0,0,1,24,0,0,0,0,korg,korg t3 - tarjeta memoria ,Barcelona,2022/08/28,2022/10/27,2022/09/01,88,1198
0,0,0,1,19,0,0,0,0,nord lead ,sonidos custom para a1 ,Cuenca,2018/04/11,2022/09/02,2022/09/01,3357,1049
0,0,0,1,400,0,0,0,0,yamaha,yamaha sy77 + flightcase ,Baleares,2022/08/28,2022/10/27,2022/09/01,166,431
0,0,0,1,1800,0,0,0,0,hammond,hammond e-262 de 1968 ,Zaragoza,2020/06/16,2022/10/01,2022/09/01,3319,859
0,0,0,1,100,0,0,0,0,behringer,behringer 1050 mix sequencer ,Madrid,2022/08/11,2022/10/01,2022/09/01,332,1106
0,0,0,1,50,0,0,0,0,eurorack,chipz modulo eurorack ,Madrid,2022/04/14,2022/09/15,2022/09/01,1870,986
0,0,0,1,459,0,0,0,0,-,intellijel metropolis ,Girona,2022/03/18,2022/09/20,2022/09/01,356,637
0,0,0,1,600,0,0,0,0,roland,roland juno ds 88 ,Navarra,2022/07/29,2022/09/27,2022/09/01,541,708
0,0,0,1,59,0,0,0,0,yamaha,yamaha master group ,Girona,2021/06/28,2022/09/23,2022/09/01,582,637
0,0,0,1,1390,0,0,0,0,hammond,hammond m100 año 1962 ,Zaragoza,2022/06/01,2022/10/01,2022/09/01,739,859
0,0,0,1,1000,0,0,0,0,yamaha,yamaha cp40 con funda y pedal original impecable! ,Madrid,2020/10/11,2022/09/27,2022/09/01,3638,871
0,0,0,1,600,0,0,0,0,roland,oportunidad! teclado roland exr-7 interactive arranger muy poco uso ,Barcelona,2021/11/08,2022/10/19,2022/09/01,557,498
0,0,0,1,80,0,0,0,0,e-mu,e-mu proformance 1 módulo de sonidos de piano ,A Coruña,2022/05/11,2022/09/30,2022/09/01,475,1091
0,0,0,1,50,0,0,0,0,arturia,arturia minilab mk2 ,Baleares,2022/08/18,2022/10/20,2022/09/01,94,631
0,0,0,1,255,0,0,0,0,roland,roland tb 3 ,Girona,2022/02/16,2022/10/08,2022/09/01,460,637
0,0,0,1,100,0,0,0,0,novation,novation impulse 25 ,Madrid,2021/12/07,2022/10/31,2022/09/01,1101,1194
0,0,0,1,600,0,0,0,0,yamaha,teclado yamaha motif es8 - 88 teclas contrapesadas ,Ourense,2022/08/18,2022/10/15,2022/09/01,170,755
0,0,0,1,800,0,0,0,0,virus,access virus kc ,Valencia,2022/08/18,2022/09/28,2022/09/01,346,498
0,0,0,1,115,0,0,0,0,shakmat modular ,time wizard ,Madrid,2022/06/07,2022/09/29,2022/09/01,333,1054
0,0,0,1,100,0,0,0,0,studio,studio electronics atc-1 2600 filter cartridge ,Barcelona,2021/09/21,2022/09/30,2022/09/01,706,602
0,0,0,1,245,0,0,0,0,instruments,mutable instruments clouds completo ,Barcelona,2022/05/31,2022/10/30,2022/09/01,537,783
0,0,0,1,550,0,0,0,0,evolver,dsi evolver ,Valencia,2021/11/02,2022/10/19,2022/09/01,1653,843
0,0,0,1,1850,0,0,0,0,-,leslie 122 clásico y autónomo ,Zaragoza,2021/07/10,2022/09/24,2022/09/01,1043,859
0,0,0,1,30,0,0,0,0,analogue systems ,rs-390 ,Barcelona,2021/10/24,2022/10/20,2022/09/01,598,1287
0,0,1,0,0,0,0,0,0,-,erica fusión vco ,Tarragona,2022/03/12,2022/09/28,2022/09/01,660,554
0,0,0,1,75,0,0,0,0,korg,korg nts -1 ,Barcelona,2022/08/31,2022/10/30,2022/09/01,96,1080
0,0,0,1,359,0,0,0,0,arturia,arturia minibrute 2 ,Girona,2021/07/19,2022/09/06,2022/09/01,1602,637
0,0,0,1,50,0,0,0,0,eurorack,fuente alimentación eurorack + bus board ,Barcelona,2022/08/03,2022/09/25,2022/09/01,266,1188
0,0,0,1,325,0,0,0,0,-,wersi ex10r expander with 8-bit drums 1985 ,Madrid,2021/04/20,2022/09/25,2022/09/01,1469,729
0,0,0,1,225,0,0,0,0,dynacord,"electrovoice fx70 emulador leslie de rack, igual al dynacord dls223 ",Sevilla,2021/05/01,2022/09/18,2022/09/01,460,651
0,0,0,1,560,0,0,0,0,yamaha,yamaha p-125 b ,A Coruña,2022/07/09,2022/09/06,2022/09/01,328,951
0,0,1,0,199,0,0,0,0,elektron,elektron model cycles no ,Las Palmas,2022/06/08,2022/09/20,2022/09/01,752,1101
0,0,0,1,20,0,0,0,0,-,"orejas rack neutron, pro 1, k2 80hp fin stock env incl ",Cádiz,2021/01/22,2022/09/28,2022/09/01,1344,481
0,0,0,1,390,0,0,0,0,xaoc,xaoc moskwa ii+ ostankino ii ,Alicante,2022/07/20,2022/09/23,2022/09/01,383,506
0,0,0,1,60,0,0,0,0,doepfer,modulo eurorack doepfer a-110-1 ,Madrid,2022/08/04,2022/09/11,2022/09/01,208,1273
0,0,0,1,95,0,0,0,0,adam,adam hall sks 22 xb ,Girona,2022/04/26,2022/10/30,2022/09/01,533,637
0,0,0,1,450,0,0,0,0,korg,sintetizador piano korg n1 88 teclas contrapesadas ,Girona,2021/09/18,2022/09/21,2022/09/01,2672,1126
0,0,1,0,0,0,0,0,0,roland,roland fa-06 ,Granada,2021/11/14,2022/09/27,2022/09/01,1684,641
0,0,0,1,600,0,0,0,0,yamaha,yamaha cs-5 ,Madrid,2022/07/31,2022/09/28,2022/09/01,630,886
0,0,0,1,1750,0,0,0,0,nord wave ,teclado 2 ,Barcelona,2022/07/17,2022/09/29,2022/09/01,786,1287
0,0,0,1,390,0,0,0,0,kurzweil,kurzweil k2000r ,Alicante,2022/04/23,2022/10/26,2022/09/01,687,821
0,0,0,1,260,0,0,0,0,korg,korg kaossilator pro + ,León,2022/07/11,2022/09/09,2022/09/01,201,1031
0,0,0,1,239,0,0,0,0,novation,novation launchpad mkiii + deksaver ,Girona,2021/04/12,2022/09/15,2022/09/01,1062,637
0,1,0,0,0,0,0,0,0,behringer,behringer di20 en madrid capital ,Madrid,2022/08/28,2022/10/01,2022/09/01,70,778
0,0,0,1,120,0,0,0,0,soundforce,dual filter - soundforce ,Málaga,2022/08/30,2022/10/29,2022/09/01,86,560
0,0,0,1,575,0,0,0,0,roland,roland d 550 ,Girona,2021/11/09,2022/10/30,2022/09/01,1035,637
0,0,0,1,190,0,0,0,0,-,nord drum synth ,Madrid,2022/08/18,2022/09/26,2022/09/01,436,1151
0,0,0,1,400,0,0,0,0,erica synths ,bassline db-01 ,Sevilla,2022/07/28,2022/09/26,2022/09/01,374,741
0,0,1,0,0,0,0,0,0,roland,roland vs 24000 cd + monitor ,Tarragona,2022/07/29,2022/09/28,2022/09/01,396,1816
0,0,0,1,50,0,0,0,0,eurorack,pack proyecto eurorack ,Barcelona,2022/08/03,2022/09/25,2022/09/01,420,1188
0,0,0,1,35,0,0,0,0,-,funda para teclado de 5 octavas ,Madrid,2021/04/01,2022/09/26,2022/09/01,1004,845
0,0,0,1,79,0,0,0,0,audio,grey audio 3340 ,Girona,2021/10/08,2022/10/08,2022/09/01,477,637
1,0,0,1,550,0,0,0,0,acidlab,acidlab drumatix 606 ,Barcelona,2022/08/18,2022/10/16,2022/09/01,270,610
0,0,0,1,5444,0,0,0,0,oberheim,oberheim obx8 nuevo solo una unidad disponible ,Girona,2022/05/10,2022/10/01,2022/09/01,568,637
0,0,0,1,45,0,0,0,0,eurorack,eurorack case 70hp model d ,Madrid,2020/12/12,2022/10/26,2022/09/01,2280,834
0,0,0,1,400,0,0,0,0,vermona,vermona drm mkii ,Burgos,2021/10/22,2022/10/24,2022/09/01,868,167
0,0,0,1,139,0,0,0,0,-,endorphin milky way ,Girona,2022/02/01,2022/10/30,2022/09/01,910,637
0,0,0,1,150,0,0,0,0,roland,roland d110 – sintetizador digital + tarjeta pn-d10-01 ,Madrid,2022/07/29,2022/09/25,2022/09/01,388,1261
0,1,0,0,0,0,0,0,0,-,landscape stereo field ,Zaragoza,2022/08/11,2022/10/07,2022/09/01,168,394
0,0,0,1,300,0,0,0,0,yamaha,yamaha tg33 tone generator vector synth ,Barcelona,2022/08/31,2022/10/30,2022/09/01,110,1042
0,1,1,0,0,0,0,0,0,instruments,modulos mutable instruments ,Valencia,2022/08/11,2022/10/13,2022/09/01,194,725
0,0,0,1,490,0,0,0,0,-,sintetizador dsi tetra envío incluido ,Albacete,2022/08/25,2022/10/25,2022/09/01,248,438
0,0,0,1,185,0,0,0,0,yamaha,yamaha rm50 rhythm sound module ,Cantabria,2022/05/07,2022/10/01,2022/09/01,658,1090
0,0,0,1,220,0,0,0,0,-,euclidean circles + six switches expansion ,Lugo,2022/08/25,2022/10/22,2022/09/01,130,843
0,0,0,1,949,0,0,0,0,-,asm hydrasynth ,Girona,2022/06/09,2022/10/31,2022/09/01,841,637
0,0,0,1,50,0,0,0,0,doepfer,modulo eurorack doepfer a-142-1 ,Madrid,2022/08/04,2022/09/22,2022/09/01,1168,1273
0,0,0,1,225,0,0,0,0,-,tiptop z-dsp + dragonfly delay broken silicon + error codes 1 ,Baleares,2021/03/13,2022/10/11,2022/09/01,1485,708
0,1,0,0,0,0,0,0,0,doepfer,doepfer a-192-2 ,La Rioja,2021/03/13,2022/10/24,2022/09/01,122,697
0,0,0,1,790,0,0,0,0,eurorack,caja eurorack ,Girona,2022/04/08,2022/09/08,2022/09/01,682,637
0,0,0,1,1000,0,0,0,0,novation,novation supernova ii en teclado ,Granada,2022/08/25,2022/10/22,2022/09/01,261,827
0,1,0,0,0,0,0,0,0,doepfer,doepfer a-160-2 ,La Rioja,2022/07/08,2022/09/24,2022/09/01,192,697
0,0,0,1,650,0,0,0,0,nord rack ,1 ,Barcelona,2022/05/10,2022/10/10,2022/09/01,471,599
0,0,0,1,1450,0,0,0,0,novation,novation summit ,Baleares,2022/07/17,2022/09/25,2022/09/01,312,924
0,0,0,1,300,0,0,1,0,arturia,waldorf blofeld negro + arturia minibrute para ,Barcelona,2022/07/21,2022/09/19,2022/09/01,582,326
0,0,0,1,130,0,0,0,0,midi,akai xe8 midi drum expander ,Madrid,2021/03/20,2022/09/09,2022/09/01,2065,729
0,0,0,1,465,0,0,0,0,system,roland system 1m ,Girona,2021/09/01,2022/09/27,2022/09/01,631,637
0,0,0,1,200,0,0,0,0,acid,twisted electrons acid 8 mkii ,Madrid,2022/07/21,2022/09/19,2022/09/01,446,1170
0,0,0,1,399,0,0,0,0,-,pedal de efecto neo ventilator ii ,Cádiz,2022/07/18,2022/09/16,2022/09/01,201,870
0,0,0,1,90,0,0,0,0,doepfer,doepfer a-106-1 xtreme filter ms20 ,Barcelona,2022/06/08,2022/09/27,2022/09/01,281,1188
0,0,0,1,179,0,0,0,0,roland,tarjeta srx02 concert piano de roland ,Toledo,2022/03/05,2022/09/13,2022/09/01,549,812
