urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,20,0,0,0,0,-,"orejas rack neutron, pro 1, k2 80hp fin stock env incl ",PETZOO,Cádiz,2021/01/22,2022/09/28,2022/08/30,1320
0,0,0,1,390,0,0,0,0,-,xaoc moskwa ii+ ostankino ii ,Sergi,Alicante,2022/07/20,2022/09/23,2022/08/30,365
0,0,0,1,60,0,0,0,0,-,modulo eurorack doepfer a-110-1 ,javi_randoom,Madrid,2022/08/09,2022/09/11,2022/08/30,190
0,0,0,1,450,0,0,0,0,-,sintetizador piano korg n1 88 teclas contrapesadas ,jordipares3,Girona,2021/09/18,2022/09/21,2022/08/30,2641
0,0,1,0,0,0,0,0,0,-,roland fa-06 ,rogaes,Granada,2021/11/14,2022/09/27,2022/08/30,1660
0,0,0,1,600,0,0,0,0,-,yamaha cs-5 ,BuenMambo,Madrid,2022/07/31,2022/09/28,2022/08/30,598
0,0,0,1,1750,0,0,0,0,-,teclado nord wave 2 ,dorremifasol,Barcelona,2022/07/17,2022/09/29,2022/08/30,734
0,0,0,1,390,0,0,0,0,-,kurzweil k2000r ,lapagana,Alicante,2022/04/23,2022/10/26,2022/08/30,665
0,0,0,1,260,0,0,0,0,-,korg kaossilator pro + ,Tangential,León,2022/07/11,2022/09/09,2022/08/30,189
0,0,0,1,239,0,0,0,0,-,novation launchpad mkiii + deksaver ,moog1406,Girona,2021/04/12,2022/09/15,2022/08/30,1048
0,1,0,0,0,0,0,0,0,-,behringer di20 en madrid capital ,soldout,Madrid,2022/08/28,2022/10/27,2022/08/30,46
0,0,0,1,200,0,0,0,0,-,nord drum synth ,Synthaddict,Madrid,2022/08/16,2022/09/26,2022/08/30,370
0,1,0,0,0,0,0,0,0,-,orejas rack korg dsm-1 ,mentemodular,Gipuzkoa,2020/05/04,2022/09/07,2022/08/30,408
0,0,0,1,400,0,0,0,0,-,erica synths bassline db-01 ,Álvaro,Sevilla,2022/07/28,2022/09/26,2022/08/30,350
0,0,1,0,0,0,0,0,0,-,roland vs 24000 cd + monitor ,elprofesordedanza,Tarragona,2022/07/29,2022/09/28,2022/08/30,366
0,0,0,1,50,0,0,0,0,-,pack proyecto eurorack ,cvsequencer,Barcelona,2022/08/02,2022/09/25,2022/08/30,392
0,0,0,1,35,0,0,0,0,-,funda para teclado de 5 octavas ,bioroide,Madrid,2021/04/01,2022/09/26,2022/08/30,990
0,0,0,1,79,0,0,0,0,-,grey audio 3340 ,moog1406,Girona,2021/10/08,2022/10/08,2022/08/30,459
1,0,0,1,550,0,0,0,0,-,acidlab drumatix 606 ,Aponsa,Barcelona,2022/08/16,2022/10/16,2022/08/30,250
