urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,korg,korg cx3 restaurado ,windbass,Zaragoza,2023/05/28,2023/07/25,2023/06/04,312,859
0,0,0,1,0,0,0,0,0,decksaver,sintetizador korg minilogue + decksaver ,Mario,Cantabria,2023/06/02,2023/08/01,2023/06/04,37,504
0,0,0,1,0,0,0,0,0,midi,modulo de sonidos roland d-70 + secuenciador roland mv30 + mesa de mezclas midi ver videos demo ,Francisco Rivera,Zaragoza,2023/01/25,2023/07/04,2023/06/04,1014,1569
0,0,0,1,0,0,0,0,0,-,sintes y mucho más ,clavinord,Madrid,2022/08/24,2023/07/01,2023/06/04,6181,962
0,0,0,1,0,0,0,0,0,m-audio,m-audio oxygen pro 49 ,Quasak,Murcia,2023/06/01,2023/07/31,2023/06/04,56,614
0,0,0,1,0,0,0,0,0,arturia,arturia matrixbrute ,Javier m,Córdoba,2023/03/24,2023/06/26,2023/06/04,265,750
0,0,0,1,0,0,0,0,0,-,flight case ,virutasong,Huelva,2023/04/09,2023/06/25,2023/06/04,302,1106
0,0,0,1,0,0,0,0,0,viscount,módulo viscount db3 organ ,juanwizar,Granada,2023/05/21,2023/06/27,2023/06/04,182,987
0,0,0,1,0,0,0,0,0,elektron,elektron analog rytm mk1 + muchos extras ,popeyesbd,Barcelona,2023/05/28,2023/07/26,2023/06/04,154,971
0,0,1,0,0,0,0,0,0,-,bancos de modwave ,PETZOO,Cádiz,2023/05/28,2023/07/01,2023/06/04,74,481
0,0,0,1,0,0,0,0,0,-,secuenciador analogico 16 pasos dual 8 8 ,instaljomar,Barcelona,2022/07/05,2023/06/27,2023/06/04,2605,1188
0,0,0,1,0,0,0,0,0,korg,korg rk100 blanco ,korgi,Barcelona,2023/05/28,2023/07/26,2023/06/04,190,540
0,0,0,1,0,0,0,0,0,akai,akai sg01v ,otro_yo,Madrid,2023/03/31,2023/06/28,2023/06/04,488,779
0,0,0,1,0,0,0,0,0,ultimate,roland xv-3080 y tarjeta ultimate keys srx-07 ,LuisG,Madrid,2023/02/16,2023/07/04,2023/06/04,824,484
0,0,0,1,0,0,0,0,0,midi,icon ikeyboard 8x teclado controlador midi 88 teclas ,serieb,Lugo,2023/03/09,2023/07/01,2023/06/04,523,634
0,0,0,1,0,0,0,0,0,korg,korg karma + flightcase ,bulichan,Alicante,2023/03/07,2023/07/01,2023/06/04,515,838
0,0,0,1,0,0,0,0,0,-,sintetizadores y material de estudio y directo varios ,Mario,Cantabria,2023/06/01,2023/07/31,2023/06/04,156,504
0,0,0,1,0,0,0,0,0,casio,"varios sintes, expanders, etc yamaha roland e-mu akai casio ",StalVs,Alicante,2023/05/21,2023/07/03,2023/06/04,698,605
0,0,0,1,0,0,0,0,0,yamaha,yamaha modx7+ ,AntQuart,Huelva,2023/04/12,2023/07/02,2023/06/04,520,816
0,0,0,1,0,0,0,0,0,nord lead ,sonidos custom para a1 ,Kurzleader,Cuenca,2018/04/11,2023/07/03,2023/06/04,3977,1049
0,0,0,1,0,0,0,0,0,-,asm hydrasynth keyboard ,adrianjh,Valladolid,2023/05/14,2023/07/03,2023/06/04,343,833
0,1,0,0,0,0,0,0,0,eurorack,mixer doepfer a-138n eurorack ,Pablo M. - Sullibass,Zaragoza,2023/05/21,2023/07/04,2023/06/04,82,1704
0,0,0,1,0,0,0,0,0,akai,sampler akai s3000xl digital ,Francisco Rivera,Zaragoza,2023/05/28,2023/07/03,2023/06/04,166,1569
0,0,0,1,0,0,0,0,0,octatrack,elektron octatrack mk1 ,Dmode,Barcelona,2023/04/16,2023/07/01,2023/06/04,392,489
0,0,0,1,0,0,0,0,0,arturia,arturia matrixbrute impecable sintetizador analógico ,Albornozz,Madrid,2023/05/28,2023/07/03,2023/06/04,128,961
0,0,0,1,0,0,0,0,0,midi,cables midi ,Mario,Cantabria,2023/05/31,2023/07/04,2023/06/04,46,504
0,0,0,1,0,0,0,0,0,nord electro ,5d 73 **rebaja** ,jorin,Valencia,2023/05/01,2023/06/30,2023/06/04,472,546
0,0,0,1,0,0,0,0,0,tiptop audio ,z 3000 ,Jorans,Asturias,2023/03/25,2023/07/03,2023/06/04,346,621
0,0,0,1,0,0,0,0,0,komplete,komplete kontrol s61 mk2 ,Johann Franz,Ciudad Real,2023/05/01,2023/07/02,2023/06/04,460,1151
0,0,0,1,0,0,0,0,0,-,ob 6 modulo ,Alejandro,León,2023/05/28,2023/07/27,2023/06/04,126,912
