urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,1450,0,0,0,0,novation,novation summit ,Albertomf,Baleares,2022/07/17,2022/09/25,2022/08/26,270
0,0,0,1,300,0,0,1,0,arturia,waldorf blofeld negro + arturia minibrute para ,dCOP,Barcelona,2022/07/21,2022/09/19,2022/08/26,520
0,0,0,1,130,0,0,0,0,akai,akai xe8 midi drum expander ,Samsimo,Madrid,2021/03/20,2022/09/09,2022/08/26,2035
0,0,0,1,340,0,0,0,0,system,roland system 1m ,mikel,Barcelona,2022/07/10,2022/09/08,2022/08/26,362
0,0,0,1,200,0,0,0,0,acid,twisted electrons acid 8 mkii ,guardabrazo,Madrid,2022/07/21,2022/09/19,2022/08/26,398
0,0,0,1,399,0,0,0,0,-,pedal de efecto neo ventilator ii ,thecurri,Cádiz,2022/07/18,2022/09/16,2022/08/26,165
0,0,0,1,90,0,0,0,0,doepfer,doepfer a-106-1 xtreme filter ms20 ,instaljomar,Barcelona,2022/06/08,2022/09/18,2022/08/26,253
0,0,0,1,179,0,0,0,0,roland,tarjeta srx02 concert piano de roland ,airbag2004,Toledo,2022/03/05,2022/09/13,2022/08/26,525
0,0,0,1,350,0,0,0,0,instruo,instruo troika triple vco ,taikpod,Barcelona,2022/04/29,2022/09/23,2022/08/26,575
0,0,0,1,3249,0,0,0,0,buchla,buchla 208c easel command ,Storm,Bizkaia,2022/07/01,2022/09/01,2022/08/26,417
